,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
10,,,,第1节,-9.5,0.83,10.5,0.83,149.5,0.83,149.5,0.83,10.5,,,,1.0,1.0,3.0,4.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,9.0,11.0,0.0,1,3.0,1.0,0,,21077.0,0.0,0.0
11,,,,第1节,-10.5,0.83,10.5,0.83,149.5,0.83,150.5,0.83,-10.5,,,,1.0,1.0,3.0,4.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,9.0,11.0,0.0,1,3.0,1.0,0,,21077.0,0.0,0.0
12,,,,第1节,-10.5,0.83,10.5,0.83,150.5,0.83,150.5,0.83,150.5,,,,1.0,1.0,3.0,4.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,9.0,11.0,0.0,1,3.0,1.0,0,,21077.0,0.0,0.0
13,,,,第1节,-10.5,0.83,10.5,0.83,150.5,0.83,150.5,0.83,150.5,,,,1.0,1.0,3.0,5.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,9.0,13.0,0.0,1,3.0,1.0,0,,21074.0,0.0,0.0
14,,,,第1节,-10.5,0.83,10.5,0.83,150.5,0.83,150.5,0.83,150.5,,,,1.0,1.0,3.0,5.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,13.0,9.0,0.0,1,2.0,48.0,0,,11077.0,0.0,0.0
15,,,,第1节,-10.5,0.83,10.5,0.83,150.5,0.83,150.5,0.83,150.5,,,,1.0,1.0,3.0,5.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,13.0,9.0,0.0,1,2.0,48.0,0,,11077.0,0.0,0.0
16,,,,第1节,-10.5,0.83,10.5,0.83,150.5,0.83,150.5,0.83,150.5,,,,1.0,1.0,3.0,5.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,13.0,9.0,0.0,1,2.0,46.0,0,,11077.0,0.0,0.0
17,,,,第1节,-10.5,0.8,8.5,0.87,150.5,0.83,150.5,0.83,8.5,,,,1.0,1.0,3.0,5.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,13.0,9.0,0.0,1,2.0,46.0,0,,11077.0,0.0,0.0
18,,,,第1节,-8.5,0.8,8.5,0.87,150.5,0.83,151.5,0.83,-8.5,,,,1.0,1.0,3.0,5.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,13.0,9.0,0.0,1,2.0,46.0,0,,11077.0,0.0,0.0
19,,,,第1节,-8.5,0.8,8.5,0.87,151.5,0.83,151.5,0.83,151.5,,,,1.0,1.0,3.0,5.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,13.0,9.0,0.0,1,2.0,46.0,0,,11077.0,0.0,0.0
20,,,,第1节,-8.5,0.8,8.5,0.87,151.5,0.83,151.5,0.83,151.5,,,,1.0,1.0,3.0,5.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,13.0,9.0,0.0,1,2.0,28.0,0,,11077.0,0.0,0.0
21,,,,第1节,-8.5,0.8,8.5,0.87,151.5,0.83,151.5,0.83,151.5,,,,1.0,1.0,4.0,5.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,11.0,9.0,0.0,1,2.0,28.0,0,,11074.0,0.0,0.0
22,,,,第1节,-8.5,0.8,8.5,0.87,151.5,0.83,151.5,0.83,151.5,,,,1.0,1.0,4.0,5.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,13.0,11.0,0.0,1,2.0,28.0,0,,21077.0,0.0,0.0
23,,,,第1节,-8.5,0.8,8.5,0.87,151.5,0.83,151.5,0.83,151.5,,,,1.0,1.0,4.0,5.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,13.0,11.0,0.0,1,2.0,27.0,0,,21077.0,0.0,0.0
24,,,,第1节,-8.5,0.8,8.5,0.87,151.5,0.83,151.5,0.83,151.5,,,,1.0,1.0,4.0,6.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,13.0,15.0,0.0,1,2.0,27.0,0,,21074.0,0.0,0.0
25,,,,第1节,-8.5,0.8,8.5,0.87,151.5,0.83,151.5,0.83,151.5,,,,1.0,1.0,4.0,6.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,15.0,11.0,0.0,1,2.0,27.0,0,,11077.0,0.0,0.0
26,,,,第1节,-8.5,0.8,8.5,0.87,151.5,0.83,151.5,0.83,151.5,,,,1.0,1.0,4.0,6.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,15.0,11.0,0.0,1,2.0,8.0,0,,11077.0,0.0,0.0
27,,,,第1节,-8.5,0.87,10.5,0.8,151.5,0.83,151.5,0.83,10.5,,,,1.0,1.0,4.0,6.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,15.0,11.0,0.0,1,2.0,8.0,0,,11077.0,0.0,0.0
28,,,,第1节,-10.5,0.87,10.5,0.8,151.5,0.83,151.5,0.83,-10.5,,,,1.0,1.0,4.0,6.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,15.0,11.0,0.0,1,2.0,5.0,0,,11077.0,0.0,0.0
29,,,,第1节,-10.5,0.87,10.5,0.8,151.5,0.83,151.5,0.83,-10.5,,,,2.0,1.0,4.0,6.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,14.0,11.0,0.0,1,2.0,5.0,0,,11075.0,0.0,0.0
30,,,,第1节,-10.5,0.87,10.5,0.8,151.5,0.83,151.5,0.83,-10.5,,,,2.0,1.0,4.0,6.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,15.0,14.0,0.0,1,2.0,5.0,0,,21077.0,0.0,0.0
31,,,,第1节,-10.5,0.87,10.5,0.8,151.5,0.83,151.5,0.83,-10.5,,,,2.0,1.0,4.0,6.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,15.0,14.0,0.0,1,1.0,44.0,0,,21077.0,0.0,0.0
32,,,,第1节,-10.5,0.8,7.5,0.87,151.5,0.83,151.5,0.83,7.5,,,,2.0,1.0,4.0,6.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,15.0,14.0,0.0,1,1.0,44.0,0,,21077.0,0.0,0.0
33,,,,第1节,-7.5,0.8,7.5,0.87,151.5,0.83,153.5,0.83,-7.5,,,,2.0,1.0,4.0,6.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,15.0,14.0,0.0,1,1.0,44.0,0,,21077.0,0.0,0.0
34,,,,第1节,-7.5,0.8,7.5,0.87,153.5,0.83,153.5,0.83,153.5,,,,2.0,1.0,4.0,6.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,15.0,14.0,0.0,1,1.0,44.0,0,,21077.0,0.0,0.0
35,,,,第1节,-7.5,0.8,7.5,0.87,153.5,0.83,153.5,0.83,153.5,,,,2.0,1.0,4.0,6.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,15.0,14.0,0.0,1,1.0,42.0,0,,21077.0,0.0,0.0
36,,,,第1节,-7.5,0.8,7.5,0.87,153.5,0.83,153.5,0.83,153.5,,,,2.0,1.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,15.0,17.0,0.0,1,1.0,42.0,0,,21074.0,0.0,0.0
37,,,,第1节,-7.5,0.8,7.5,0.87,153.5,0.83,153.5,0.83,153.5,,,,2.0,1.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,17.0,14.0,0.0,1,1.0,42.0,0,,11077.0,0.0,0.0
38,,,,第1节,-7.5,0.8,7.5,0.87,153.5,0.83,153.5,0.83,153.5,,,,2.0,1.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,17.0,14.0,0.0,1,1.0,26.0,0,,11077.0,0.0,0.0
39,,,,第1节,-7.5,0.87,9.5,0.8,153.5,0.83,153.5,0.83,9.5,,,,2.0,1.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,17.0,14.0,0.0,1,1.0,26.0,0,,11077.0,0.0,0.0
40,,,,第1节,-9.5,0.87,9.5,0.8,153.5,0.83,154.5,0.83,-9.5,,,,2.0,1.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,17.0,14.0,0.0,1,1.0,26.0,0,,11077.0,0.0,0.0
41,,,,第1节,-9.5,0.87,9.5,0.8,154.5,0.83,154.5,0.83,154.5,,,,2.0,1.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,17.0,14.0,0.0,1,1.0,26.0,0,,11077.0,0.0,0.0
42,,,,第1节,-9.5,0.87,9.5,0.8,154.5,0.83,154.5,0.83,154.5,,,,2.0,1.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,17.0,14.0,0.0,1,1.0,24.0,0,,11077.0,0.0,0.0
43,,,,第1节,-9.5,0.87,9.5,0.8,154.5,0.83,154.5,0.83,154.5,,,,2.0,1.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,17.0,14.0,0.0,1,1.0,24.0,0,,21077.0,0.0,0.0
44,,,,第1节,-9.5,0.87,9.5,0.8,154.5,0.83,154.5,0.83,154.5,,,,2.0,1.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,17.0,14.0,0.0,1,1.0,6.0,0,,21077.0,0.0,0.0
45,,,,第1节,-9.5,0.83,9.5,0.83,153.5,0.83,153.5,0.83,153.5,,,,2.0,1.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,17.0,14.0,0.0,1,1.0,6.0,0,,21077.0,0.0,0.0
46,,,,第1节,-9.5,0.83,9.5,0.83,153.5,0.83,153.5,0.83,153.5,,,,2.0,1.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,17.0,14.0,0.0,1,1.0,2.0,0,,21077.0,0.0,0.0
47,,,,第1节,-9.5,0.87,9.5,0.8,152.5,0.83,152.5,0.83,152.5,,,,2.0,1.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,17.0,14.0,0.0,1,1.0,2.0,0,,11077.0,0.0,0.0
48,,,,第1节,-9.5,0.87,9.5,0.8,152.5,0.83,152.5,0.83,152.5,,,,2.0,1.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,17.0,14.0,0.0,1,0.0,50.0,0,,11077.0,0.0,0.0
49,,,,第1节,-9.5,0.87,9.5,0.8,152.5,0.83,152.5,0.83,152.5,,,,2.0,1.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,17.0,14.0,0.0,1,0.0,50.0,0,,21086.0,0.0,0.0
50,,,,第1节,-9.5,0.8,8.5,0.87,152.5,0.83,152.5,0.83,8.5,,,,2.0,1.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,17.0,14.0,0.0,1,0.0,50.0,0,,11077.0,0.0,0.0
51,,,,第1节,-8.5,0.8,8.5,0.87,152.5,0.83,151.5,0.83,-8.5,,,,2.0,1.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,17.0,14.0,0.0,1,0.0,50.0,0,,11077.0,0.0,0.0
52,,,,第1节,-8.5,0.8,8.5,0.87,151.5,0.83,151.5,0.83,151.5,,,,2.0,1.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,17.0,14.0,0.0,1,0.0,50.0,0,,11077.0,0.0,0.0
53,,,,第1节,-8.5,0.8,8.5,0.87,151.5,0.83,151.5,0.83,151.5,,,,2.0,1.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,17.0,14.0,0.0,1,0.0,34.0,0,,11077.0,0.0,0.0
54,,,,第1节,-8.5,0.87,9.5,0.8,151.5,0.83,151.5,0.83,9.5,,,,2.0,1.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,17.0,14.0,0.0,1,0.0,34.0,0,,21077.0,0.0,0.0
55,,,,第1节,-9.5,0.87,9.5,0.8,151.5,0.83,150.5,0.83,-9.5,,,,2.0,1.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,17.0,14.0,0.0,1,0.0,34.0,0,,21077.0,0.0,0.0
56,,,,第1节,-9.5,0.87,9.5,0.8,150.5,0.83,150.5,0.83,150.5,,,,2.0,1.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,17.0,14.0,0.0,1,0.0,34.0,0,,21077.0,0.0,0.0
57,,,,第1节,-9.5,0.87,9.5,0.8,150.5,0.83,150.5,0.83,150.5,,,,2.0,2.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,17.0,20.0,0.0,1,0.0,34.0,0,,21075.0,0.0,0.0
58,,,,第1节,-9.5,0.83,11.5,0.83,150.5,0.83,150.5,0.83,11.5,,,,2.0,2.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,17.0,20.0,0.0,1,0.0,34.0,0,,11077.0,0.0,0.0
59,,,,第1节,-11.5,0.83,11.5,0.83,150.5,0.83,152.5,0.83,-11.5,,,,2.0,2.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,17.0,20.0,0.0,1,0.0,34.0,0,,11077.0,0.0,0.0
60,,,,第1节,-11.5,0.83,11.5,0.83,152.5,0.83,152.5,0.83,152.5,,,,2.0,2.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,17.0,20.0,0.0,1,0.0,34.0,0,,11077.0,0.0,0.0
61,,,,第1节,-11.5,0.83,11.5,0.83,152.5,0.83,152.5,0.83,152.5,,,,2.0,2.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,20.0,14.0,0.0,1,0.0,34.0,0,,11077.0,0.0,0.0
62,,,,第1节,-11.5,0.83,11.5,0.83,152.5,0.83,152.5,0.83,152.5,,,,2.0,2.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,20.0,14.0,0.0,1,0.0,20.0,0,,11077.0,0.0,0.0
63,,,,第1节,-11.5,0.83,11.5,0.83,152.5,0.83,152.5,0.83,152.5,,,,2.0,2.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,20.0,14.0,0.0,1,0.0,20.0,0,,11077.0,0.0,0.0
64,,,,第1节,-11.5,0.83,11.5,0.83,152.5,0.83,152.5,0.83,152.5,,,,2.0,2.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,20.0,14.0,0.0,1,0.0,17.0,0,,11077.0,0.0,0.0
65,,,,第1节,-11.5,0.83,11.5,0.83,152.5,0.83,152.5,0.83,152.5,,,,2.0,2.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,20.0,14.0,0.0,1,0.0,17.0,0,,11077.0,0.0,0.0
66,,,,第1节,-11.5,0.83,11.5,0.83,152.5,0.83,152.5,0.83,152.5,,,,2.0,2.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,20.0,14.0,0.0,1,0.0,1.0,0,,11077.0,0.0,0.0
67,,,,第1节,-11.5,0.83,11.5,0.83,152.5,0.83,151.5,0.83,151.5,,,1.0,2.0,2.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,4.0,0.0,0.0,20.0,14.0,0.0,1,0.0,1.0,0,,21086.0,0.0,0.0
68,,,,第1节,-11.5,0.83,11.5,0.83,151.5,0.83,151.5,0.83,151.5,,,1.0,2.0,2.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,4.0,0.0,0.0,20.0,14.0,0.0,1,0.0,1.0,0,,11077.0,0.0,0.0
69,,,,第1节,-11.5,0.83,9.5,0.83,151.5,0.83,151.5,0.83,9.5,,1:3,1.0,2.0,2.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,4.0,0.0,0.0,20.0,14.0,0.0,1,0.0,1.0,0,,11078.0,0.0,0.0
70,,,,第1节,-9.5,0.83,9.5,0.83,151.5,0.83,152.5,0.83,-9.5,,1:3,1.0,2.0,2.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,4.0,0.0,0.0,20.0,14.0,0.0,1,0.0,1.0,0,,11078.0,0.0,0.0
71,,,,第1节,-9.5,0.83,9.5,0.83,152.5,0.83,152.5,0.83,152.5,,1:3,1.0,2.0,2.0,4.0,7.0,0.0,0.0,5.0,5.0,3.0,4.0,0.0,0.0,20.0,14.0,0.0,1,0.0,1.0,0,,11078.0,0.0,0.0
72,,,,第1节,-9.5,0.83,9.5,0.83,152.5,0.83,152.5,0.83,152.5,,1:3,1.0,2.0,2.0,4.0,7.0,1.0,0.0,5.0,5.0,3.0,4.0,100.0,0.0,15.0,14.0,0.0,1,0.0,1.0,0,,11079.0,0.0,0.0
73,,,,第1节,-9.5,0.83,9.5,0.83,152.5,0.83,152.5,0.83,152.5,,2:3,1.0,2.0,2.0,4.0,7.0,1.0,0.0,5.0,5.0,3.0,4.0,100.0,0.0,20.0,15.0,0.0,1,0.0,1.0,0,,11078.0,0.0,0.0
74,,,,第1节,-9.5,0.83,9.5,0.83,153.5,0.83,153.5,0.83,153.5,,2:3,1.0,2.0,2.0,4.0,7.0,1.0,0.0,5.0,5.0,3.0,4.0,100.0,0.0,20.0,15.0,0.0,1,0.0,1.0,0,,11078.0,0.0,0.0
75,,,,第1节,-9.5,0.83,9.5,0.83,153.5,0.83,153.5,0.83,153.5,,2:3,1.0,2.0,2.0,4.0,7.0,2.0,0.0,5.0,5.0,3.0,4.0,100.0,0.0,16.0,15.0,0.0,1,0.0,1.0,0,,11079.0,0.0,0.0
76,,,,第1节,-9.5,0.83,9.5,0.83,153.5,0.83,153.5,0.83,153.5,,3:3,1.0,2.0,2.0,4.0,7.0,2.0,0.0,5.0,5.0,3.0,4.0,100.0,0.0,20.0,16.0,0.0,1,0.0,1.0,0,,11078.0,0.0,0.0
77,,,,第1节,-9.5,0.87,9.5,0.8,154.5,0.83,154.5,0.83,154.5,,3:3,1.0,2.0,2.0,4.0,7.0,2.0,0.0,5.0,5.0,3.0,4.0,100.0,0.0,20.0,16.0,0.0,1,0.0,1.0,0,,11078.0,0.0,0.0
78,,,,第1节,-9.5,0.87,9.5,0.87,154.5,0.83,154.5,0.83,154.5,,3:3,1.0,2.0,2.0,4.0,7.0,2.0,0.0,5.0,5.0,3.0,4.0,100.0,0.0,20.0,16.0,0.0,1,0.0,1.0,0,,11078.0,0.0,0.0
79,,,,第1节,-9.5,0.8,8.5,0.87,154.5,0.83,154.5,0.83,8.5,,3:3,1.0,2.0,2.0,4.0,7.0,2.0,0.0,5.0,5.0,3.0,4.0,100.0,0.0,20.0,16.0,0.0,1,0.0,1.0,0,,11078.0,0.0,0.0
80,,,,第1节,-8.5,0.8,8.5,0.87,154.5,0.83,154.5,0.83,-8.5,,3:3,1.0,2.0,2.0,4.0,7.0,3.0,0.0,5.0,5.0,3.0,4.0,100.0,0.0,17.0,16.0,0.0,1,0.0,1.0,0,,11079.0,0.0,0.0
81,,,,第1节,-8.5,0.8,8.5,0.87,154.5,0.83,154.5,0.83,-8.5,,,1.0,2.0,2.0,4.0,7.0,3.0,0.0,5.0,5.0,3.0,4.0,100.0,0.0,20.0,17.0,0.0,1,0.0,1.0,0,,21077.0,0.0,0.0
82,,,,第1节,-8.5,0.8,8.5,0.87,154.5,0.83,154.5,0.83,-8.5,,1.0,0.0,2.0,2.0,4.0,7.0,3.0,0.0,5.0,5.0,0.0,0.0,100.0,0.0,20.0,17.0,0.0,1,10.0,0.0,0,,1082.0,0.0,0.0
83,,,,第2节,-8.5,0.8,8.5,0.87,154.5,0.83,154.5,0.83,-8.5,,1.0,0.0,2.0,2.0,4.0,7.0,3.0,0.0,5.0,5.0,0.0,0.0,100.0,0.0,20.0,17.0,0.0,1,10.0,0.0,0,,1082.0,0.0,0.0
84,,,第2节,第2节,-8.5,0.8,8.5,0.87,155.5,0.83,155.5,0.83,155.5,,1.0,0.0,2.0,2.0,4.0,7.0,3.0,0.0,5.0,5.0,0.0,0.0,100.0,0.0,20.0,17.0,0.0,1,10.0,0.0,0,,1082.0,0.0,0.0
85,,,第2节,第2节,-8.5,0.8,8.5,0.8,155.5,0.83,155.5,0.83,155.5,,1.0,0.0,2.0,2.0,4.0,7.0,3.0,0.0,5.0,5.0,0.0,0.0,100.0,0.0,20.0,17.0,0.0,1,10.0,0.0,0,,1082.0,0.0,0.0
86,,,第2节,第2节,-8.5,0.87,9.5,0.8,155.5,0.83,155.5,0.83,9.5,,1.0,0.0,2.0,2.0,4.0,7.0,3.0,0.0,5.0,5.0,0.0,0.0,100.0,0.0,20.0,17.0,0.0,1,10.0,0.0,0,,1082.0,0.0,0.0
87,,,第2节,第2节,-9.5,0.87,9.5,0.8,155.5,0.83,155.5,0.83,-9.5,2.0,,0.0,2.0,2.0,4.0,7.0,3.0,0.0,5.0,5.0,0.0,0.0,100.0,0.0,20.0,17.0,0.0,1,10.0,0.0,0,,1088.0,0.0,0.0
88,,,第2节,第2节,-9.5,0.87,9.5,0.8,155.5,0.83,155.5,0.83,-9.5,2.0,,0.0,2.0,2.0,4.0,7.0,3.0,0.0,5.0,5.0,0.0,0.0,100.0,0.0,20.0,17.0,0.0,1,10.0,59.0,0,,11077.0,0.0,0.0
89,,,第2节,第2节,-9.5,0.87,9.5,0.8,155.5,0.83,155.5,0.83,-9.5,2.0,,0.0,2.0,2.0,4.0,7.0,3.0,0.0,5.0,5.0,0.0,0.0,100.0,0.0,20.0,17.0,0.0,1,9.0,59.0,0,,11077.0,0.0,0.0
90,,,第2节,第2节,-9.5,0.87,9.5,0.8,155.5,0.83,155.5,0.83,-9.5,2.0,,0.0,2.0,2.0,4.0,7.0,3.0,0.0,5.0,5.0,0.0,0.0,100.0,0.0,20.0,17.0,0.0,1,9.0,40.0,0,,11077.0,0.0,0.0
91,,,第2节,第2节,-9.5,0.87,9.5,0.8,153.5,0.83,153.5,0.83,153.5,2.0,,0.0,2.0,2.0,4.0,7.0,3.0,0.0,5.0,5.0,0.0,0.0,100.0,0.0,20.0,17.0,0.0,1,9.0,40.0,0,,21077.0,0.0,0.0
92,,,第2节,第2节,-9.5,0.87,9.5,0.8,153.5,0.83,153.5,0.83,153.5,2.0,,0.0,2.0,2.0,4.0,8.0,3.0,0.0,5.0,5.0,0.0,0.0,100.0,0.0,20.0,22.0,0.0,1,9.0,40.0,0,,21074.0,0.0,0.0
93,,,第2节,第2节,-9.5,0.87,9.5,0.8,153.5,0.83,153.5,0.83,153.5,2.0,,0.0,2.0,2.0,4.0,8.0,3.0,0.0,5.0,5.0,0.0,0.0,100.0,0.0,22.0,17.0,0.0,1,9.0,22.0,0,,11077.0,0.0,0.0
94,,,第2节,第2节,-9.5,0.83,10.5,0.83,153.5,0.83,153.5,0.83,10.5,2.0,,0.0,2.0,2.0,4.0,8.0,3.0,0.0,5.0,5.0,0.0,0.0,100.0,0.0,22.0,17.0,0.0,1,9.0,22.0,0,,11077.0,0.0,0.0
95,,,第2节,第2节,-10.5,0.83,10.5,0.83,153.5,0.83,154.5,0.83,-10.5,2.0,,0.0,2.0,2.0,4.0,8.0,3.0,0.0,5.0,5.0,0.0,0.0,100.0,0.0,22.0,17.0,0.0,1,9.0,22.0,0,,11077.0,0.0,0.0
96,,,第2节,第2节,-10.5,0.83,10.5,0.83,154.5,0.83,154.5,0.83,154.5,2.0,,0.0,2.0,2.0,4.0,8.0,3.0,0.0,5.0,5.0,0.0,0.0,100.0,0.0,22.0,17.0,0.0,1,9.0,22.0,0,,11077.0,0.0,0.0
97,,,第2节,第2节,-10.5,0.83,10.5,0.83,154.5,0.83,154.5,0.83,154.5,2.0,,0.0,2.0,2.0,4.0,8.0,3.0,0.0,5.0,5.0,0.0,0.0,100.0,0.0,22.0,17.0,0.0,1,9.0,19.0,0,,11077.0,0.0,0.0
98,,,第2节,第2节,-10.5,0.83,10.5,0.83,154.5,0.83,154.5,0.83,154.5,2.0,,0.0,2.0,2.0,4.0,8.0,3.0,0.0,5.0,5.0,0.0,0.0,100.0,0.0,22.0,17.0,0.0,1,9.0,19.0,0,,11077.0,0.0,0.0
